construction,country,threshold_quantile,xi,n_exceedances
published,us,0.8,0.6337145392638087,13173
published,us,0.85,0.6429217535614754,9953
published,us,0.9,0.6717647928062929,6746
published,us,0.95,0.6695437172180789,3491
published,us,0.975,0.6491711587045439,1739
published,ng,0.8,0.09794393484570865,969
published,ng,0.85,0.08148196952843419,732
published,ng,0.9,0.08787464439092382,455
published,ng,0.95,0.006930425438961624,223
published,ng,0.975,-0.20146711523455585,116
net,us,0.8,0.6337145392638087,13173
net,us,0.85,0.6429217535614754,9953
net,us,0.9,0.6717647928062929,6746
net,us,0.95,0.6695437172180789,3491
net,us,0.975,0.6491711587045439,1739
net,ng,0.8,0.48901447171337775,969
net,ng,0.85,0.5049616212454195,732
net,ng,0.9,0.5805482675923557,455
net,ng,0.95,0.5829983809778949,223
net,ng,0.975,0.45736925921519755,116
gross,us,0.8,0.39715517832340264,13173
gross,us,0.85,0.37204917856306985,9953
gross,us,0.9,0.3429420132114883,6746
gross,us,0.95,0.22105401678490677,3491
gross,us,0.975,0.08332093279146316,1739
gross,ng,0.8,0.09794393484570865,969
gross,ng,0.85,0.08148196952843419,732
gross,ng,0.9,0.08787464439092382,455
gross,ng,0.95,0.006930425438961624,223
gross,ng,0.975,-0.20146711523455585,116
floor,us,0.8,0.5296621958520917,13058
floor,us,0.85,0.5256363420002421,9871
floor,us,0.9,0.5432341079101028,6667
floor,us,0.95,0.5592612021129555,3440
floor,us,0.975,0.5130252300630791,1731
floor,ng,0.8,0.5545212328169727,913
floor,ng,0.85,0.5683493753762865,693
floor,ng,0.9,0.5961900599854043,453
floor,ng,0.95,0.5067579524524218,221
floor,ng,0.975,0.5478454282994849,105
linked_one_year,us,0.8,0.6167947830988771,11074
linked_one_year,us,0.85,0.6253802291933507,8384
linked_one_year,us,0.9,0.6305745814841679,5710
linked_one_year,us,0.95,0.6127318815176584,2946
linked_one_year,us,0.975,0.567350264589758,1471
linked_one_year,ng,0.8,0.48901447171337775,969
linked_one_year,ng,0.85,0.5049616212454195,732
linked_one_year,ng,0.9,0.5805482675923557,455
linked_one_year,ng,0.95,0.5829983809778949,223
linked_one_year,ng,0.975,0.45736925921519755,116
two_year,us,0.8,0.5777604070636387,11096
two_year,us,0.85,0.5794245318245388,8453
two_year,us,0.9,0.5859229445988429,5703
two_year,us,0.95,0.6042187854774357,2935
two_year,us,0.975,0.5264020324243928,1490
two_year,ng,0.8,0.48901447171337775,969
two_year,ng,0.85,0.5049616212454195,732
two_year,ng,0.9,0.5805482675923557,455
two_year,ng,0.95,0.5829983809778949,223
two_year,ng,0.975,0.45736925921519755,116
poor_one_year,us,0.8,0.5787199374001284,1936
poor_one_year,us,0.85,0.5821222556959353,1445
poor_one_year,us,0.9,0.6088936766261234,960
poor_one_year,us,0.95,0.6241186712039379,479
poor_one_year,us,0.975,0.8130801310168522,230
poor_one_year,ng,0.8,0.3263405254649741,151
poor_one_year,ng,0.85,0.21431439695582707,115
poor_one_year,ng,0.9,0.38466783078104555,70
poor_one_year,ng,0.95,0.2717618101571161,33
poor_one_year,ng,0.975,,19
poor_two_year,us,0.8,0.572211872182382,2036
poor_two_year,us,0.85,0.5840522882007526,1504
poor_two_year,us,0.9,0.6154410617152108,1002
poor_two_year,us,0.95,0.5559637724996251,500
poor_two_year,us,0.975,0.5547767219454472,246
poor_two_year,ng,0.8,0.3263405254649741,151
poor_two_year,ng,0.85,0.21431439695582707,115
poor_two_year,ng,0.9,0.38466783078104555,70
poor_two_year,ng,0.95,0.2717618101571161,33
poor_two_year,ng,0.975,,19
levels_household,us,0.8,0.4357073059135785,11381
levels_household,us,0.85,0.45922361692108254,8471
levels_household,us,0.9,0.47246610931580646,5645
levels_household,us,0.95,0.4851253349950836,2772
levels_household,us,0.975,0.4719253141014845,1395
levels_household,ng,0.8,0.40230457747933956,876
levels_household,ng,0.85,0.3500226558690888,659
levels_household,ng,0.9,0.4244405488714775,423
levels_household,ng,0.95,0.38785696405544173,215
levels_household,ng,0.975,0.522391347342778,97
levels_person,us,0.8,0.5193739072367083,12404
levels_person,us,0.85,0.5311356007799897,9411
levels_person,us,0.9,0.5366472923983756,6346
levels_person,us,0.95,0.5446050703140514,3190
levels_person,us,0.975,0.5472713653170012,1606
levels_person,ng,0.8,0.5902638265030119,898
levels_person,ng,0.85,0.5599657034880055,653
levels_person,ng,0.9,0.5292726642781135,440
levels_person,ng,0.95,0.5228651986235946,219
levels_person,ng,0.975,0.4594019780994527,105
