measure,dimension,group,estimate_pct,se_pct,ci_low,ci_high,n,country
Budget share > 10%,Overall,All,7.391170374046789,0.1567202990157958,7.083998587975829,7.6983421601177495,61447,United States
Budget share > 10%,Insurance status,Insured all year,7.454348266843572,0.15856455914456474,7.143561730920226,7.7651348027669185,55173,United States
Budget share > 10%,Insurance status,Partly uninsured,6.62880120051588,0.6189010745218047,5.415755094453142,7.841847306578617,4282,United States
Budget share > 10%,Insurance status,Uninsured all year,7.216124051240056,0.7574309036886712,5.731559480010262,8.700688622469851,1992,United States
Budget share > 10%,Poverty category,Middle income,6.7953004589089625,0.23563574059537007,6.333454407342037,7.257146510475887,17402,United States
Budget share > 10%,Poverty category,Poor/negative,18.196107534515534,0.6141757256008876,16.992323112337793,19.39989195669327,8427,United States
Budget share > 10%,Poverty category,High income,3.064228701252672,0.13879728052157825,2.792186031430379,3.3362713710749654,23338,United States
Budget share > 10%,Poverty category,Low income,12.647008626441103,0.49642452059021563,11.67401656608428,13.620000686797926,8972,United States
Budget share > 10%,Poverty category,Near poor,13.6270825125826,0.7430513830897137,12.17070180172676,15.08346322343844,3308,United States
Budget share > 10%,Any chronic condition,No,4.071722398397877,0.2298017233870114,3.621311020559334,4.522133776236418,12852,United States
Budget share > 10%,Any chronic condition,Yes,8.464142927859477,0.18627350426747274,8.09904685949523,8.829238996223724,48595,United States
Budget share > 10%,Elderly member,No,5.4785743464011185,0.16512745620131908,5.154924532246533,5.802224160555705,38841,United States
Budget share > 10%,Elderly member,Yes,11.851319264794128,0.2996174147273417,11.264069131928538,12.438569397659718,22606,United States
Budget share > 25%,Overall,All,2.2509356800803104,0.07964657577448643,2.094828391562317,2.4070429685983035,61447,United States
Budget share > 25%,Insurance status,Insured all year,2.2029333867154803,0.07529408452286941,2.0553569810506565,2.350509792380304,55173,United States
Budget share > 25%,Insurance status,Partly uninsured,2.5214662051174397,0.42420969662831237,1.6900151997259476,3.352917210508932,4282,United States
Budget share > 25%,Insurance status,Uninsured all year,3.001310467896158,0.5584081248148419,1.906830543259068,4.095790392533248,1992,United States
Budget share > 25%,Poverty category,Middle income,1.6694514601565198,0.12004711669592802,1.4341591114325007,1.9047438088805386,17402,United States
Budget share > 25%,Poverty category,Poor/negative,8.424992371638872,0.45134833101613986,7.5403496428472385,9.309635100430508,8427,United States
Budget share > 25%,Poverty category,High income,0.5425758035588985,0.05150860071303359,0.4416189461613526,0.6435326609564443,23338,United States
Budget share > 25%,Poverty category,Low income,3.655639006823014,0.2743240171444517,3.1179639332198885,4.1933140804261395,8972,United States
Budget share > 25%,Poverty category,Near poor,4.574210734333683,0.5136654371001337,3.5674264776174205,5.580994991049945,3308,United States
Budget share > 25%,Any chronic condition,No,1.1617480660158779,0.12325764833110789,0.9201630752869063,1.4033330567448492,12852,United States
Budget share > 25%,Any chronic condition,Yes,2.6030027781089826,0.09704057915224847,2.4128032429705755,2.7932023132473898,48595,United States
Budget share > 25%,Elderly member,No,1.6423825432374555,0.08718105101476359,1.471507683248519,1.8132574032263922,38841,United States
Budget share > 25%,Elderly member,Yes,3.6700736261062628,0.16272911095177325,3.351124568640787,3.9890226835717386,22606,United States
Budget share > 40%,Overall,All,1.1005033411211658,0.05538964279187409,0.9919396412490925,1.209067040993239,61447,United States
Budget share > 40%,Insurance status,Insured all year,1.0632228377450446,0.052179175546748106,0.9609516536734184,1.165494021816671,55173,United States
Budget share > 40%,Insurance status,Partly uninsured,1.4002554118765673,0.3061654234812889,0.800171181853241,2.0003396418998936,4282,United States
Budget share > 40%,Insurance status,Uninsured all year,1.503995467569127,0.4006161095365602,0.7187878928774691,2.2892030422607847,1992,United States
Budget share > 40%,Poverty category,Middle income,0.7051646345327132,0.07969831272584652,0.5489559415900539,0.8613733274753723,17402,United States
Budget share > 40%,Poverty category,Poor/negative,5.0221970253392465,0.36244087611022396,4.3118129081632075,5.7325811425152855,8427,United States
Budget share > 40%,Poverty category,High income,0.22696049695918058,0.03375378965882315,0.1608030692278872,0.293117924690474,23338,United States
Budget share > 40%,Poverty category,Low income,1.482907739499889,0.14992301648223796,1.1890586271947028,1.7767568518050756,8972,United States
Budget share > 40%,Poverty category,Near poor,2.1602259528688683,0.39879964399240725,1.3785786506437503,2.9418732550939866,3308,United States
Budget share > 40%,Any chronic condition,No,0.5219990181296885,0.08810908156943628,0.3493052182535934,0.6946928180057836,12852,United States
Budget share > 40%,Any chronic condition,Yes,1.2874980659625765,0.0666771041816114,1.1568109417666181,1.418185190158535,48595,United States
Budget share > 40%,Elderly member,No,0.8314473643648269,0.06437490376076978,0.7052725529937182,0.9576221757359357,38841,United States
Budget share > 40%,Elderly member,Yes,1.7279383555899117,0.09364862251805295,1.544387055454528,1.9114896557252954,22606,United States
Capacity to pay >= 40%,Overall,All,10.978422323528156,0.25181554758766944,10.484863850256323,11.471980796799988,61447,United States
Capacity to pay >= 40%,Insurance status,Insured all year,10.648208992918535,0.2512561614517272,10.15574691647315,11.14067106936392,55173,United States
Capacity to pay >= 40%,Insurance status,Partly uninsured,14.62683568309386,0.7777944156536384,13.10235862841273,16.151312737774994,4282,United States
Capacity to pay >= 40%,Insurance status,Uninsured all year,12.565840775829622,1.0441362394082336,10.519333746589485,14.612347805069762,1992,United States
Capacity to pay >= 40%,Poverty category,Middle income,1.6376514622953247,0.1188299160555191,1.4047448268265073,1.8705580977641418,17402,United States
Capacity to pay >= 40%,Poverty category,Poor/negative,78.36020315958905,0.6892881069858569,77.00919846989677,79.71120784928132,8427,United States
Capacity to pay >= 40%,Poverty category,High income,0.30962109817248334,0.038994284691908625,0.2331923001763424,0.38604989616862423,23338,United States
Capacity to pay >= 40%,Poverty category,Low income,8.476739688915046,0.3721926769563942,7.747242042080512,9.206237335749579,8972,United States
Capacity to pay >= 40%,Poverty category,Near poor,30.211289085763866,1.0785082978385965,28.097412822000216,32.32516534952751,3308,United States
Capacity to pay >= 40%,Any chronic condition,No,7.832893245711429,0.3373409438070127,7.171704995849685,8.494081495573175,12852,United States
Capacity to pay >= 40%,Any chronic condition,Yes,11.995177637205666,0.28469302313053885,11.437179311869809,12.553175962541522,48595,United States
Capacity to pay >= 40%,Elderly member,No,10.08652248315694,0.2908803220925404,9.51639705185556,10.65664791445832,38841,United States
Capacity to pay >= 40%,Elderly member,Yes,13.058321071716081,0.34343289842420266,12.385192590804643,13.731449552627517,22606,United States
No capacity to pay (at or below the floor),Overall,All,10.184289809606057,0.27356381996637835,9.648104722471954,10.720474896740157,61447,United States
No capacity to pay (at or below the floor),Insurance status,Insured all year,9.541081660313635,0.2650247302063995,9.02163318910909,10.060530131518178,55173,United States
No capacity to pay (at or below the floor),Insurance status,Partly uninsured,15.126282402832306,0.8054176352917037,13.547663837660567,16.704900968004043,4282,United States
No capacity to pay (at or below the floor),Insurance status,Uninsured all year,17.60516470785491,1.2305281734415503,15.193329487909473,20.01699992780035,1992,United States
No capacity to pay (at or below the floor),Poverty category,Middle income,0.0,0.0,0.0,0.0,17402,United States
No capacity to pay (at or below the floor),Poverty category,Poor/negative,100.0,0.0,100.0,100.0,8427,United States
No capacity to pay (at or below the floor),Poverty category,High income,0.0,0.0,0.0,0.0,23338,United States
No capacity to pay (at or below the floor),Poverty category,Low income,0.0,0.0,0.0,0.0,8972,United States
No capacity to pay (at or below the floor),Poverty category,Near poor,0.06487320861896201,0.06489346835283312,-0.062317989352590926,0.19206440659051494,3308,United States
No capacity to pay (at or below the floor),Any chronic condition,No,10.775340471717156,0.43192991038832385,9.92875784735604,11.621923096078271,12852,United States
No capacity to pay (at or below the floor),Any chronic condition,Yes,9.993239628066744,0.29061179873196347,9.423640502552095,10.562838753581392,48595,United States
No capacity to pay (at or below the floor),Elderly member,No,10.876612239090914,0.34014197442442323,10.209933969219046,11.543290508962784,38841,United States
No capacity to pay (at or below the floor),Elderly member,Yes,8.569802970109988,0.28888086746838376,8.003596469871956,9.136009470348021,22606,United States
Budget share > 10%,Overall,All,17.239435500815247,0.8042946088114906,15.663018067544726,18.81585293408577,4685,Nigeria
Budget share > 10%,Sector,Informal,17.544309643147045,0.8489287201766946,15.880409351600724,19.208209934693368,3876,Nigeria
Budget share > 10%,Sector,Formal,15.923821692437922,1.8550343238855473,12.28795441762225,19.559688967253596,809,Nigeria
Budget share > 10%,Consumption quintile,Q4,16.789246712732442,1.5825255360453565,13.687496662083543,19.89099676338134,1016,Nigeria
Budget share > 10%,Consumption quintile,Q5 (richest),18.707252658700153,1.4859583798398062,15.794774234214131,21.61973108318617,1428,Nigeria
Budget share > 10%,Consumption quintile,Q3,17.195013824779025,1.9965555226468943,13.281765000391113,21.10826264916694,834,Nigeria
Budget share > 10%,Consumption quintile,Q1 (poorest),13.898680582132814,1.7485827252376271,10.471458440667064,17.325902723598563,700,Nigeria
Budget share > 10%,Consumption quintile,Q2,17.490367031769424,1.9467081196882052,13.674819117180542,21.305914946358307,707,Nigeria
