country,basis,group,threshold_quantile,threshold,n_exceedances,xi,sigma
United States,income,All families,0.8,0.04036768473869364,13173,0.6337145392638087,0.04355596362998065
United States,income,All families,0.85,0.05419208996319376,9953,0.6429217535614754,0.05161979833133798
United States,income,All families,0.9,0.07874399557086768,6746,0.6717647928062929,0.06423827284954055
United States,income,All families,0.95,0.135547563545394,3491,0.6695437172180789,0.10246109024362922
United States,income,All families,0.975,0.22793166503379822,1739,0.6491711587045439,0.1657749953013367
United States,income,Insured all year,0.8,0.04159350405446763,11869,0.626360094560135,0.043163141325137676
United States,income,Insured all year,0.85,0.055222735434602356,8997,0.6316745591674603,0.051321551721398684
United States,income,Insured all year,0.9,0.07946965239252324,6109,0.6590421786862748,0.06374527744136109
United States,income,Insured all year,0.95,0.13601939734108534,3162,0.6816654762514202,0.09749308753287064
United States,income,Insured all year,0.975,0.2253589386790592,1590,0.6748138570263575,0.15568369027337367
United States,income,Partly uninsured,0.8,0.029620462824099757,867,0.7828667337306598,0.04022971205538384
United States,income,Partly uninsured,0.85,0.04232285416235849,635,0.780570383597947,0.050603896567623576
United States,income,Partly uninsured,0.9,0.0668705909991723,433,0.7370585756244121,0.07292457133844085
United States,income,Partly uninsured,0.95,0.12936714233351682,217,0.6820580770895659,0.1324839362521605
United States,income,Partly uninsured,0.975,0.2624427499363168,97,0.6127124137390514,0.21968970409552482
United States,income,Uninsured all year,0.8,0.02924398994676338,420,0.722458228418511,0.04704925700141938
United States,income,Uninsured all year,0.85,0.04267479361366808,322,0.6591602513167278,0.06333139971705982
United States,income,Uninsured all year,0.9,0.0702749400178198,215,0.5944550000397171,0.09066901746464434
United States,income,Uninsured all year,0.95,0.14400120461421412,109,0.33302119526902985,0.18470779959648678
United States,income,Uninsured all year,0.975,0.3017772720841373,45,0.4298551115832683,0.19787740339809642
United States,income,Poor or near poor,0.8,0.07687021609429061,2271,0.649653120356557,0.12241809035200632
United States,income,Poor or near poor,0.85,0.11892992090989368,1673,0.6981482684973219,0.13682218943385696
United States,income,Poor or near poor,0.9,0.18425314964923706,1112,0.7186000850636118,0.1762743585540426
United States,income,Poor or near poor,0.95,0.3477917772289721,533,0.798141370801783,0.2590052839190859
United States,income,Poor or near poor,0.975,0.604351892085448,264,0.9015819301891038,0.3867297056456011
United States,income,Chronic condition,0.8,0.0464283127153217,10303,0.6538878115298563,0.04676948951835565
United States,income,Chronic condition,0.85,0.06147781118895872,7767,0.6590864542000547,0.05592368447976389
United States,income,Chronic condition,0.9,0.08762024947305325,5285,0.6729411627085109,0.0717255166404775
United States,income,Chronic condition,0.95,0.15021428611968118,2744,0.680093035722813,0.11391210821373104
United States,income,Chronic condition,0.975,0.2581161672722787,1353,0.7411117737942626,0.16466424804041266
United States,income,Elderly member,0.8,0.06276481004438222,4619,0.6052419653379879,0.06192183700868266
United States,income,Elderly member,0.85,0.0819235838460343,3507,0.6014156100176498,0.07423205283718685
United States,income,Elderly member,0.9,0.11789142139665747,2353,0.637251697841567,0.0894119038958465
United States,income,Elderly member,0.95,0.19615998538748375,1210,0.6052833779937559,0.14417560435999244
United States,income,Elderly member,0.975,0.31376018647633047,611,0.647881369274849,0.21247751470234755
Nigeria,consumption net of OOP,All households,0.8,0.09264376634852861,969,0.48901447171337775,0.11715807467072335
Nigeria,consumption net of OOP,All households,0.85,0.1304353841091755,732,0.5049616212454195,0.13117446362597904
Nigeria,consumption net of OOP,All households,0.9,0.1948945461194931,455,0.5805482675923557,0.14340802816657494
Nigeria,consumption net of OOP,All households,0.95,0.3334698642319997,223,0.5829983779963737,0.2009210392572158
Nigeria,consumption net of OOP,All households,0.975,0.5004126018928585,116,0.45736925921519755,0.35137213068978407
Nigeria,consumption net of OOP,Informal sector,0.8,0.09583452920414746,799,0.5402554374000061,0.11876768140712292
Nigeria,consumption net of OOP,Informal sector,0.85,0.13468310046581497,601,0.5502876438654423,0.13580083457009864
Nigeria,consumption net of OOP,Informal sector,0.9,0.19935149803672458,378,0.5684311187530409,0.16452283266991258
Nigeria,consumption net of OOP,Informal sector,0.95,0.3525007454040153,182,0.5787130183332321,0.2307320573821697
Nigeria,consumption net of OOP,Informal sector,0.975,0.5390561136088764,92,0.4280091777055991,0.4134141056201718
Nigeria,consumption net of OOP,Formal sector,0.8,0.08065719104624407,169,0.14617145516582056,0.11756891766412732
Nigeria,consumption net of OOP,Formal sector,0.85,0.1177387463269537,127,0.16001133175801655,0.11895149312201361
Nigeria,consumption net of OOP,Formal sector,0.9,0.1627348155900644,88,0.11921251732391556,0.1368940273027265
Nigeria,consumption net of OOP,Formal sector,0.95,0.24905841442257684,42,0.017041775559073206,0.17735885022257433
Nigeria,consumption net of OOP,Formal sector,0.975,0.34832820590033364,24,,
Nigeria,consumption net of OOP,Poorest quintile,0.8,0.08001599228923373,159,0.50430593875001,0.09965862375691775
Nigeria,consumption net of OOP,Poorest quintile,0.85,0.10574298762847947,119,0.41168868658609464,0.1316547097418228
Nigeria,consumption net of OOP,Poorest quintile,0.9,0.15481231351334876,76,0.1973062902870747,0.2067583802576797
Nigeria,consumption net of OOP,Poorest quintile,0.95,0.3113825006594948,38,0.12265514729645642,0.26281175290802233
Nigeria,consumption net of OOP,Poorest quintile,0.975,0.4981500604786093,18,,
Nigeria,consumption net of OOP,Richest quintile,0.8,0.09798502067925907,301,0.6135207842421049,0.1546203115840666
Nigeria,consumption net of OOP,Richest quintile,0.85,0.15296347836182564,216,0.7381488256674151,0.15399651070362222
Nigeria,consumption net of OOP,Richest quintile,0.9,0.2137548489114777,143,0.5983776067670101,0.24961880516827523
Nigeria,consumption net of OOP,Richest quintile,0.95,0.41290564253895046,70,0.3871617470021215,0.5004872073256703
Nigeria,consumption net of OOP,Richest quintile,0.975,0.920411814811456,32,0.7310345773421546,0.3690502166622752
Nigeria,consumption net of OOP,Rural,0.8,0.09603891271329881,650,0.5007522049805335,0.13197591059208122
Nigeria,consumption net of OOP,Rural,0.85,0.13721464796624278,490,0.5026206855218298,0.15182967090637298
Nigeria,consumption net of OOP,Rural,0.9,0.20392224064147263,311,0.5094462290115787,0.18558339242654487
Nigeria,consumption net of OOP,Rural,0.95,0.36016262167796004,155,0.5630849592146169,0.24359670922430016
Nigeria,consumption net of OOP,Rural,0.975,0.5517724414544775,76,0.49278613106558883,0.4050496803429478
Nigeria,consumption (SDG basis),All households,0.8,0.08478862827324303,969,0.09794393484570865,0.10654324848385188
Nigeria,consumption (SDG basis),All households,0.85,0.115385085167418,732,0.08148196952843419,0.11226820945028429
Nigeria,consumption (SDG basis),All households,0.9,0.16310605528879205,455,0.08787464439092382,0.11428996142129828
Nigeria,consumption (SDG basis),All households,0.95,0.25007673992501245,223,0.006930425438961624,0.12993889543878356
Nigeria,consumption (SDG basis),All households,0.975,0.3335166490998214,116,-0.20146711523455585,0.1724503154704992
Nigeria,consumption (SDG basis),Informal sector,0.8,0.08745346445666694,799,0.1159772588041117,0.10917453898865322
Nigeria,consumption (SDG basis),Informal sector,0.85,0.11869664608857064,601,0.08749176235011741,0.11744102791473832
Nigeria,consumption (SDG basis),Informal sector,0.9,0.16621607430041546,378,0.03942853758561037,0.12997103873150792
Nigeria,consumption (SDG basis),Informal sector,0.95,0.2606280866536868,182,-0.048856537641945315,0.14634360904196717
Nigeria,consumption (SDG basis),Informal sector,0.975,0.35025103145172526,92,-0.26041588305907537,0.18922978932809678
Nigeria,consumption (SDG basis),Formal sector,0.8,0.07463716679976604,169,-0.09158639676444269,0.10197503754874265
Nigeria,consumption (SDG basis),Formal sector,0.85,0.10533582498248566,127,-0.08069597489292216,0.09689854703367289
Nigeria,consumption (SDG basis),Formal sector,0.9,0.13995861991496866,88,-0.13134644620694527,0.10275588276975847
Nigeria,consumption (SDG basis),Formal sector,0.95,0.1993968419328603,42,-0.25549352990388796,0.1153846145474503
Nigeria,consumption (SDG basis),Formal sector,0.975,0.2583388458111782,24,,
Nigeria,consumption (SDG basis),Poorest quintile,0.8,0.07408767877385078,159,0.1410509962519943,0.09415759431420838
Nigeria,consumption (SDG basis),Poorest quintile,0.85,0.09563057389499723,119,0.0032386851010189725,0.1193776874963256
Nigeria,consumption (SDG basis),Poorest quintile,0.9,0.13405835955137366,76,-0.19478748678455565,0.15950462440809102
Nigeria,consumption (SDG basis),Poorest quintile,0.95,0.23743802723560506,38,-0.2721132569457755,0.15545169522339716
Nigeria,consumption (SDG basis),Poorest quintile,0.975,0.33249954682251004,18,,
Nigeria,consumption (SDG basis),Richest quintile,0.8,0.08924072251832874,301,0.06673754331591034,0.14428535792710276
Nigeria,consumption (SDG basis),Richest quintile,0.85,0.1326697867740357,216,0.10530240362908498,0.13913515767430776
Nigeria,consumption (SDG basis),Richest quintile,0.9,0.1761101044708616,143,-0.13385418301108218,0.20080093140991792
Nigeria,consumption (SDG basis),Richest quintile,0.95,0.2922376852776726,70,-0.36547667580014354,0.2575351133303098
Nigeria,consumption (SDG basis),Richest quintile,0.975,0.47927531231094606,32,-0.14970839896113824,0.13443689460602137
Nigeria,consumption (SDG basis),Rural,0.8,0.08762362505927318,650,0.06663097979230116,0.12019191120239793
Nigeria,consumption (SDG basis),Rural,0.85,0.12065853015002428,490,0.03618077138166351,0.12863300227078908
Nigeria,consumption (SDG basis),Rural,0.9,0.16938156846214028,311,-0.010964480953854374,0.14116702754472288
