basis,us_group,nigeria_reference,crossover_percentile,us_burden_at_crossover_pct,at_grid_edge
published,All US families,All Nigerian households,99.3,56.39017689675716,False
published,All US families,Nigerian informal households,99.3,56.39017689675716,False
published,Insured all year,All Nigerian households,99.3,54.42470357219696,False
published,Insured all year,Nigerian informal households,99.4,60.39350855862063,False
published,Partly uninsured,All Nigerian households,99.0,51.63375325790416,False
published,Partly uninsured,Nigerian informal households,99.0,51.63375325790416,False
published,Uninsured all year,All Nigerian households,98.49999999999996,40.759300304878636,False
published,Uninsured all year,Nigerian informal households,99.0,57.62413609145073,False
published,Poor or near poor,All Nigerian households,84.49999999999996,11.27582407693052,False
published,Poor or near poor,Nigerian informal households,84.99999999999997,11.89299209098934,False
published,Chronic condition,All Nigerian households,99.1,52.238796985138094,False
published,Chronic condition,Nigerian informal households,99.1,52.238796985138094,False
published,Elderly member,All Nigerian households,98.49999999999996,43.675890548883174,False
published,Elderly member,Nigerian informal households,99.0,59.26994937688483,False
net,All US families,All Nigerian households,,,False
net,All US families,Nigerian informal households,,,False
net,Insured all year,All Nigerian households,,,False
net,Insured all year,Nigerian informal households,,,False
net,Partly uninsured,All Nigerian households,,,False
net,Partly uninsured,Nigerian informal households,,,False
net,Uninsured all year,All Nigerian households,,,False
net,Uninsured all year,Nigerian informal households,,,False
net,Poor or near poor,All Nigerian households,91.49999999999996,21.178804082009403,False
net,Poor or near poor,Nigerian informal households,95.49999999999996,37.48647331192407,False
net,Chronic condition,All Nigerian households,,,False
net,Chronic condition,Nigerian informal households,,,False
net,Elderly member,All Nigerian households,99.9,315.6328934154799,True
net,Elderly member,Nigerian informal households,99.9,315.6328934154799,True
